country,ISO_Alpha_3,survey,year,age_min,age_max,prop_circumcised,ci_lower,ci_upper,num_uncircumcised,num_circumcised
Eswatini,SWZ,SZ2006DHS,2006,35,39,0.196579614,0.155886687,0.244814283,295.213714,72.232419
Eswatini,SWZ,SZ2006DHS,2006,40,44,0.124909215,0.090049488,0.170731752,235.380871,33.597931
Eswatini,SWZ,SZ2006DHS,2006,45,49,0.118699484,0.083192669,0.166606757,225.560477,30.380003
Eswatini,SWZ,SZ2017PHIA,2017,15,19,0.396,,,648.696,425.304
Eswatini,SWZ,SZ2017PHIA,2017,20,24,0.326,,,477.866,231.134
Eswatini,SWZ,SZ2017PHIA,2017,25,29,0.302,,,448.116,193.884
Eswatini,SWZ,SZ2017PHIA,2017,30,34,0.278,,,390.602,150.398
Eswatini,SWZ,SZ2017PHIA,2017,35,39,0.292,,,320.724,132.276
Eswatini,SWZ,SZ2017PHIA,2017,40,44,0.25,,,242.25,80.75
Eswatini,SWZ,SZ2017PHIA,2017,45,49,0.208,,,194.832,51.168
Eswatini,SWZ,SZ2017PHIA,2017,50,54,0.192179931,,,466.92,111.08
Tanzania,TZA,TZ2003AIS,2003,15,19,0.632237218,0.572567526,0.68811442,496.976854,854.374827
Tanzania,TZA,TZ2003AIS,2003,20,24,0.710661211,0.651646044,0.763309936,292.852769,719.292095
Tanzania,TZA,TZ2003AIS,2003,25,29,0.733930867,0.682510166,0.779711461,253.849199,700.223135
Tanzania,TZA,TZ2003AIS,2003,30,34,0.70708599,0.649454802,0.758761753,234.570557,566.246574
Tanzania,TZA,TZ2003AIS,2003,35,39,0.732997802,0.674896735,0.784037963,178.850903,490.997153
Tanzania,TZA,TZ2003AIS,2003,40,44,0.709657834,0.645022595,0.766779414,136.544209,333.743008
Tanzania,TZA,TZ2003AIS,2003,45,49,0.715278865,0.644235701,0.777044998,112.011875,281.397188
Tanzania,TZA,TZ2004DHS,2004,15,19,0.597061303,0.535178273,0.656001269,256.078865,379.449236
Tanzania,TZA,TZ2004DHS,2004,20,24,0.683955813,0.613261487,0.747057493,155.758198,337.078577
Tanzania,TZA,TZ2004DHS,2004,25,29,0.726384504,0.651586002,0.790293154,110.733864,293.97225
Tanzania,TZA,TZ2004DHS,2004,30,34,0.722359859,0.646966336,0.786954452,107.558515,279.844094
Tanzania,TZA,TZ2004DHS,2004,35,39,0.675516771,0.596461022,0.745688385,90.06602,187.501546
Tanzania,TZA,TZ2004DHS,2004,40,44,0.666376765,0.571980152,0.749087418,88.375413,176.520445
Tanzania,TZA,TZ2004DHS,2004,45,49,0.652474221,0.545142604,0.746267225,59.190133,111.12855
Tanzania,TZA,TZ2007AIS,2007,15,19,0.603185641,0.564357812,0.640755716,696.887586,1059.317981
Tanzania,TZA,TZ2007AIS,2007,20,24,0.638101929,0.594139776,0.679867964,414.287247,730.474995
Tanzania,TZA,TZ2007AIS,2007,25,29,0.707669799,0.665892847,0.746213845,293.40204,710.264494
Tanzania,TZA,TZ2007AIS,2007,30,34,0.712115667,0.672397964,0.748816899,288.094128,712.634618
Tanzania,TZA,TZ2007AIS,2007,35,39,0.709277684,0.663150443,0.751455783,243.390724,593.802401
Tanzania,TZA,TZ2007AIS,2007,40,44,0.743064063,0.693168796,0.78733492,160.979936,465.557316
Tanzania,TZA,TZ2007AIS,2007,45,49,0.676780512,0.62390907,0.725489501,186.051555,389.5683
Tanzania,TZA,TZ2010DHS,2010,15,19,0.64328139,0.57908917,0.702709646,229.963871,414.700759
Tanzania,TZA,TZ2010DHS,2010,20,24,0.744551465,0.677876299,0.801467698,105.636031,307.895529
Tanzania,TZA,TZ2010DHS,2010,25,29,0.75423665,0.682589574,0.814115402,84.271773,258.626275
Tanzania,TZA,TZ2010DHS,2010,30,34,0.750552988,0.674035217,0.814063698,87.654839,263.74179
Tanzania,TZA,TZ2010DHS,2010,35,39,0.72061598,0.646860507,0.784108378,83.698084,215.882701
Tanzania,TZA,TZ2010DHS,2010,40,44,0.747458266,0.680332244,0.804538411,68.207809,201.877487
Tanzania,TZA,TZ2010DHS,2010,45,49,0.797663104,0.711061775,0.863298175,41.36775,163.08211
Tanzania,TZA,TZ2012AIS,2012,15,19,0.661702614,0.628317915,0.6935512,680.630254,1331.298546
Tanzania,TZA,TZ2012AIS,2012,20,24,0.756130684,0.715769765,0.792422427,371.33564,1151.34727
Tanzania,TZA,TZ2012AIS,2012,25,29,0.722062653,0.683485625,0.75760535,309.618809,804.368973
Tanzania,TZA,TZ2012AIS,2012,30,34,0.757036333,0.715237491,0.79446287,258.5268,805.528591
Tanzania,TZA,TZ2012AIS,2012,35,39,0.731089735,0.690903338,0.767807283,286.031097,777.636356
Tanzania,TZA,TZ2012AIS,2012,40,44,0.732330578,0.689335763,0.771348777,244.032896,667.662188
Tanzania,TZA,TZ2012AIS,2012,45,49,0.703764985,0.657127489,0.746505975,194.965195,463.178458
Tanzania,TZA,TZ2015DHS,2015,15,19,0.808289306,0.769615128,0.841805798,178.657811,753.255832
Tanzania,TZA,TZ2015DHS,2015,20,24,0.841906465,0.802687175,0.874548606,90.992326,484.567745
Tanzania,TZA,TZ2015DHS,2015,25,29,0.802355815,0.758370973,0.840022907,95.14098,386.234072
Tanzania,TZA,TZ2015DHS,2015,30,34,0.832647107,0.784367132,0.871882904,68.608836,341.356206
Tanzania,TZA,TZ2015DHS,2015,35,39,0.809212654,0.759867963,0.850413623,88.918716,377.143199
Tanzania,TZA,TZ2015DHS,2015,40,44,0.747476367,0.682731991,0.802824223,84.275142,249.456561
Tanzania,TZA,TZ2015DHS,2015,45,49,0.727900769,0.642620524,0.799190015,85.520968,228.779693
Tanzania,TZA,TZ2017PHIA,2017,15,19,0.802,,,519.552,2104.448
Tanzania,TZA,TZ2017PHIA,2017,20,24,0.849,,,314.382,1767.618
Tanzania,TZA,TZ2017PHIA,2017,25,29,0.845,,,275.745,1503.255
Tanzania,TZA,TZ2017PHIA,2017,30,34,0.811,,,291.249,1249.751
Tanzania,TZA,TZ2017PHIA,2017,35,39,0.796,,,280.092,1092.908
Tanzania,TZA,TZ2017PHIA,2017,40,44,0.776,,,272.608,944.392
Tanzania,TZA,TZ2017PHIA,2017,45,49,0.79,,,192.15,722.85
Tanzania,TZA,TZ2017PHIA,2017,50,54,0.743413681,,,472.632,1369.368
Uganda,UGA,UG2006DHS,2006,15,19,0.211791806,0.169110207,0.26185092,466.969442,125.474846
Uganda,UGA,UG2006DHS,2006,20,24,0.254156388,0.202304861,0.314065278,299.617338,102.098696
